"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","343","shouldCreateCartWithValidQuantidade(int) CR-BVA-03,04,05","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.CarrinhosControllerTest","com.serverest.controllers.CarrinhosControllerTest","shouldCreateCartWithValidQuantidade"
"","251","PR-08: Дубликат названия товара запрещён","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldReturn400ForDuplicateProductName"
"","122","LG-03: Логин с несуществующим email","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.AuthControllerTest","com.serverest.controllers.AuthControllerTest","shouldReturn401ForNonExistentEmail"
"","318","shouldReturn400ForInvalidQuantidade(int) CR-BVA-01,02,06","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.CarrinhosControllerTest","com.serverest.controllers.CarrinhosControllerTest","shouldReturn400ForInvalidQuantidade"
"","398","CR-02: Нельзя создать вторую корзину, пока первая активна","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.CarrinhosControllerTest","com.serverest.controllers.CarrinhosControllerTest","shouldReturn400ForDuplicateCart"
"","838","E2E-03: Overselling — два пользователя одновременно покупают последний товар","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.E2eControllerTest","com.serverest.controllers.E2eControllerTest","shouldPreventParallelOverselling"
"","219","PR-19: Удаление товара без корзины","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldDeleteProductNotInCart"
"","87","LG-01: Успешный вход","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.AuthControllerTest","com.serverest.controllers.AuthControllerTest","shouldLoginSuccessfully"
"","284","LG-04: Логин без пароля (обязательное поле)","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.AuthControllerTest","com.serverest.controllers.AuthControllerTest","shouldReturn400ForMissingPassword"
"","192","US-10: Фильтр по administrador=true","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.UsuariosControllerTest","com.serverest.controllers.UsuariosControllerTest","shouldFilterByAdministradorTrue"
"","340","shouldReturn400ForInvalidQuantidade(int) CR-BVA-01,02,06","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.CarrinhosControllerTest","com.serverest.controllers.CarrinhosControllerTest","shouldReturn400ForInvalidQuantidade"
"","291","US-09: PUT на существующий ID обновляет пользователя","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.UsuariosControllerTest","com.serverest.controllers.UsuariosControllerTest","shouldUpdateUserOnPutWithExistingId"
"","88","LG-02: Логин с неверным паролем","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.AuthControllerTest","com.serverest.controllers.AuthControllerTest","shouldReturn401ForInvalidPassword"
"","197","US-07: PUT на несуществующий ID создаёт нового пользователя","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.UsuariosControllerTest","com.serverest.controllers.UsuariosControllerTest","shouldCreateNewUserOnPutWithNonExistentId"
"","1335","PR-09: Админ обновляет товар","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldUpdateProductByAdmin"
"","72","PR-04: Создание с quantidade = -1","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldReturn400ForNegativeQuantidadeOnCreate"
"","216","PR-15: Обновление товара с просроченным токеном","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldReturn401ForExpiredTokenUpdate"
"","76","PR-06: Создание товара без токена","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldReturn401ForCreateWithoutToken"
"","288","PR-13: Обновление quantidade = 0 (товар закончился)","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldReturn200ForQuantidadeZeroOnUpdate"
"","331","PR-25: Фильтр по nome (case-insensitive)","","2026-07-24","passed","2026-07-24","","com.serverest.controllers.ProdutosControllerTest","com.serverest.controllers.ProdutosControllerTest","shouldFilterByNomeCaseInsensitive"
